Grand Prix,Driver,Car,Time,year,Code
Canada,Nelson  Piquet ,Brabham BMW,1:28.763,1984,PIQ
Detroit,Derek  Warwick ,Renault,1:46.221,1984,WAR
Dallas,Niki  Lauda ,McLaren TAG,1:45.353,1984,LAU
Great Britain,Niki  Lauda ,McLaren TAG,1:13.191,1984,LAU
Germany,Alain  Prost ,McLaren TAG,1:53.538,1984,PRO
Austria,Niki  Lauda ,McLaren TAG,1:32.882,1984,LAU
Netherlands,Rene  Arnoux ,Ferrari,1:19.465,1984,ARN
Italy,Niki  Lauda ,McLaren TAG,1:31.912,1984,LAU
Europe,Nelson  Piquet ,Brabham BMW,1:23.146,1984,PIQ
Portugal,Niki  Lauda ,McLaren TAG,1:22.996,1984,LAU
Brazil,Alain  Prost ,McLaren TAG,1:36.702,1985,PRO
Portugal,Ayrton  Senna ,Lotus Renault,1:44.121,1985,SEN
San Marino,Michele  Alboreto ,Ferrari,1:30.961,1985,ALB
Monaco,Michele  Alboreto ,Ferrari,1:22.637,1985,ALB
Canada,Ayrton  Senna ,Lotus Renault,1:27.445,1985,SEN
Detroit,Ayrton  Senna ,Lotus Renault,1:45.612,1985,SEN
France,Keke  Rosberg ,Williams Honda,1:39.914,1985,ROS
Great Britain,Alain  Prost ,McLaren TAG,1:09.886,1985,PRO
Germany,Niki  Lauda ,McLaren TAG,1:22.806,1985,LAU
Austria,Alain  Prost ,McLaren TAG,1:29.241,1985,PRO
Netherlands,Alain  Prost ,McLaren TAG,1:16.538,1985,PRO
Italy,Nigel  Mansell ,Williams Honda,1:28.283,1985,MAN
Belgium,Alain  Prost ,McLaren TAG,2:01.730,1985,PRO
Europe,Jacques  Laffite ,Ligier Renault,1:11.526,1985,LAF
South Africa,Keke  Rosberg ,Williams Honda,1:08.149,1985,ROS
Australia,Keke  Rosberg ,Williams Honda,1:23.758,1985,ROS
Brazil,Nelson  Piquet ,Williams Honda,1:33.546,1986,PIQ
Spain,Nigel  Mansell ,Williams Honda,1:27.176,1986,MAN
San Marino,Nelson  Piquet ,Williams Honda,1:28.667,1986,PIQ
Monaco,Alain  Prost ,McLaren TAG,1:26.607,1986,PRO
Belgium,Alain  Prost ,McLaren TAG,1:59.282,1986,PRO
Canada,Nelson  Piquet ,Williams Honda,1:25.443,1986,PIQ
Detroit,Nelson  Piquet ,Williams Honda,1:41.233,1986,PIQ
France,Nigel  Mansell ,Williams Honda,1:09.993,1986,MAN
Great Britain,Nigel  Mansell ,Williams Honda,1:09.593,1986,MAN
Germany,Gerhard  Berger ,Benetton BMW,1:46.604,1986,BER
Hungary,Nelson  Piquet ,Williams Honda,1:31.001,1986,PIQ
Austria,Gerhard  Berger ,Benetton BMW,1:29.444,1986,BER
Italy,Teo  Fabi ,Benetton BMW,1:28.099,1986,FAB
Portugal,Nigel  Mansell ,Williams Honda,1:20.943,1986,MAN
Mexico,Nelson  Piquet ,Williams Honda,1:19.360,1986,PIQ
Australia,Nelson  Piquet ,Williams Honda,1:20.787,1986,PIQ
Brazil,Nelson  Piquet ,Williams Honda,1:33.861,1987,PIQ
San Marino,Teo  Fabi ,Benetton Ford,1:29.246,1987,FAB
Belgium,Alain  Prost ,McLaren TAG,1:57.153,1987,PRO
Monaco,Ayrton  Senna ,Lotus Honda,1:27.685,1987,SEN
Detroit,Ayrton  Senna ,Lotus Honda,1:40.464,1987,SEN
France,Nelson  Piquet ,Williams Honda,1:09.548,1987,PIQ
Great Britain,Nigel  Mansell ,Williams Honda,1:09.832,1987,MAN
Germany,Nigel  Mansell ,Williams Honda,1:45.716,1987,MAN
Hungary,Nelson  Piquet ,Williams Honda,1:30.149,1987,PIQ
Austria,Nigel  Mansell ,Williams Honda,1:28.318,1987,MAN
Italy,Ayrton  Senna ,Lotus Honda,1:26.796,1987,SEN
Portugal,Gerhard  Berger ,Ferrari,1:19.282,1987,BER
Spain,Gerhard  Berger ,Ferrari,1:26.986,1987,BER
Mexico,Nelson  Piquet ,Williams Honda,1:19.132,1987,PIQ
Japan,Alain  Prost ,McLaren TAG,1:43.844,1987,PRO
Australia,Gerhard  Berger ,Ferrari,1:20.416,1987,BER
Brazil,Gerhard  Berger ,Ferrari,1:32.943,1988,BER
San Marino,Alain  Prost ,McLaren Honda,1:29.685,1988,PRO
Monaco,Ayrton  Senna ,McLaren Honda,1:26.321,1988,SEN
Mexico,Alain  Prost ,McLaren Honda,1:18.608,1988,PRO
Canada,Ayrton  Senna ,McLaren Honda,1:24.973,1988,SEN
Detroit,Alain  Prost ,McLaren Honda,1:44.836,1988,PRO
France,Alain  Prost ,McLaren Honda,1:11.737,1988,PRO
Great Britain,Nigel  Mansell ,Williams Judd,1:23.308,1988,MAN
Germany,Alessandro  Nannini ,Benetton Ford,2:03.032,1988,NAN
Hungary,Alain  Prost ,McLaren Honda,1:30.639,1988,PRO
Belgium,Gerhard  Berger ,Ferrari,2:00.772,1988,BER
Italy,Michele  Alboreto ,Ferrari,1:29.070,1988,ALB
Portugal,Gerhard  Berger ,Ferrari,1:21.961,1988,BER
Spain,Alain  Prost ,McLaren Honda,1:27.845,1988,PRO
Japan,Ayrton  Senna ,McLaren Honda,1:46.326,1988,SEN
Australia,Alain  Prost ,McLaren Honda,1:21.216,1988,PRO
Brazil,Riccardo  Patrese ,Williams Renault,1:32.507,1989,PAT
San Marino,Alain  Prost ,McLaren Honda,1:26.795,1989,PRO
Monaco,Alain  Prost ,McLaren Honda,1:25.501,1989,PRO
Mexico,Nigel  Mansell ,Ferrari,1:20.420,1989,MAN
United States,Ayrton  Senna ,McLaren Honda,1:33.969,1989,SEN
Canada,Jonathan Palmer ,Tyrrell Ford,1:31.925,1989,PAL
France,Mauricio  Gugelmin ,March Judd,1:12.090,1989,GUG
Great Britain,Nigel  Mansell ,Ferrari,1:12.017,1989,MAN
Germany,Ayrton  Senna ,McLaren Honda,1:45.884,1989,SEN
Hungary,Nigel  Mansell ,Ferrari,1:22.637,1989,MAN
Belgium,Alain  Prost ,McLaren Honda,2:11.571,1989,PRO
Italy,Alain  Prost ,McLaren Honda,1:28.107,1989,PRO
Portugal,Gerhard  Berger ,Ferrari,1:18.986,1989,BER
Spain,Ayrton  Senna ,McLaren Honda,1:25.779,1989,SEN
Japan,Alain  Prost ,McLaren Honda,1:43.506,1989,PRO
Australia,Satoru  Nakajima ,Lotus Judd,1:38.480,1989,NAK
United States,Gerhard  Berger ,McLaren Honda,1:31.050,1990,BER
Brazil,Gerhard  Berger ,McLaren Honda,1:19.899,1990,BER
San Marino,Alessandro  Nannini ,Benetton Ford,1:27.156,1990,NAN
Monaco,Ayrton  Senna ,McLaren Honda,1:24.468,1990,SEN
Canada,Gerhard  Berger ,McLaren Honda,1:22.077,1990,BER
Mexico,Alain  Prost ,Ferrari,1:17.958,1990,PRO
France,Nigel  Mansell ,Ferrari,1:08.012,1990,MAN
Great Britain,Nigel  Mansell ,Ferrari,1:11.291,1990,MAN
Germany,Thierry  Boutsen ,Williams Renault,1:45.602,1990,BOU
Hungary,Riccardo  Patrese ,Williams Renault,1:22.058,1990,PAT
Belgium,Alain  Prost ,Ferrari,1:55.087,1990,PRO
Italy,Ayrton  Senna ,McLaren Honda,1:26.254,1990,SEN
Portugal,Riccardo  Patrese ,Williams Renault,1:18.306,1990,PAT
Spain,Riccardo  Patrese ,Williams Renault,1:24.513,1990,PAT
Japan,Riccardo  Patrese ,Williams Renault,1:44.233,1990,PAT
Australia,Nigel  Mansell ,Ferrari,1:18.203,1990,MAN
United States,Jean  Alesi ,Ferrari,1:26.758,1991,ALE
Brazil,Nigel  Mansell ,Williams Renault,1:20.436,1991,MAN
San Marino,Gerhard  Berger ,McLaren Honda,1:26.531,1991,BER
Monaco,Alain  Prost ,Ferrari,1:24.368,1991,PRO
Canada,Nigel  Mansell ,Williams Renault,1:22.385,1991,MAN
Mexico,Nigel  Mansell ,Williams Renault,1:16.788,1991,MAN
France,Nigel  Mansell ,Williams Renault,1:19.168,1991,MAN
Great Britain,Nigel  Mansell ,Williams Renault,1:26.379,1991,MAN
Germany,Riccardo  Patrese ,Williams Renault,1:43.569,1991,PAT
Hungary,Bertrand  Gachot ,Jordan Ford,1:21.547,1991,GAC
Belgium,Roberto  Moreno ,Benetton Ford,1:55.161,1991,MOR
Italy,Ayrton  Senna ,McLaren Honda,1:26.061,1991,SEN
Portugal,Nigel  Mansell ,Williams Renault,1:18.179,1991,MAN
Spain,Riccardo  Patrese ,Williams Renault,1:22.837,1991,PAT
Japan,Ayrton  Senna ,McLaren Honda,1:41.532,1991,SEN
Australia,Gerhard  Berger ,McLaren Honda,1:41.141,1991,BER
South Africa,Nigel  Mansell ,Williams Renault,1:17.578,1992,MAN
Mexico,Gerhard  Berger ,McLaren Honda,1:17.711,1992,BER
Brazil,Riccardo  Patrese ,Williams Renault,1:19.490,1992,PAT
Spain,Nigel  Mansell ,Williams Renault,1:42.503,1992,MAN
San Marino,Riccardo  Patrese ,Williams Renault,1:26.100,1992,PAT
Monaco,Nigel  Mansell ,Williams Renault,1:21.598,1992,MAN
Canada,Gerhard  Berger ,McLaren Honda,1:22.325,1992,BER
France,Nigel  Mansell ,Williams Renault,1:17.070,1992,MAN
Great Britain,Nigel  Mansell ,Williams Renault,1:22.539,1992,MAN
Germany,Riccardo  Patrese ,Williams Renault,1:41.591,1992,PAT
Hungary,Nigel  Mansell ,Williams Renault,1:18.308,1992,MAN
Belgium,Michael  Schumacher ,Benetton Ford,1:53.791,1992,MSC
Italy,Nigel  Mansell ,Williams Renault,1:26.119,1992,MAN
Portugal,Ayrton  Senna ,McLaren Honda,1:16.272,1992,SEN
Japan,Nigel  Mansell ,Williams Renault,1:40.646,1992,MAN
Australia,Michael  Schumacher ,Benetton Ford,1:16.078,1992,MSC
South Africa,Alain  Prost ,Williams Renault,1:19.492,1993,PRO
Brazil,Michael  Schumacher ,Benetton Ford,1:20.024,1993,MSC
Europe,Ayrton  Senna ,McLaren Ford,1:18.029,1993,SEN
San Marino,Alain  Prost ,Williams Renault,1:26.128,1993,PRO
Spain,Michael  Schumacher ,Benetton Ford,1:20.989,1993,MSC
Monaco,Alain  Prost ,Williams Renault,1:23.604,1993,PRO
Canada,Michael  Schumacher ,Benetton Ford,1:21.500,1993,MSC
France,Michael  Schumacher ,Benetton Ford,1:19.256,1993,MSC
Great Britain,Damon  Hill ,Williams Renault,1:22.515,1993,HIL
Germany,Michael  Schumacher ,Benetton Ford,1:41.859,1993,MSC
Hungary,Alain  Prost ,Williams Renault,1:19.633,1993,PRO
Belgium,Alain  Prost ,Williams Renault,1:51.095,1993,PRO
Italy,Damon  Hill ,Williams Renault,1:23.575,1993,HIL
Portugal,Damon  Hill ,Williams Renault,1:14.859,1993,HIL
Japan,Alain  Prost ,Williams Renault,1:41.176,1993,PRO
Australia,Damon  Hill ,Williams Renault,1:15.381,1993,HIL
Brazil,Michael  Schumacher ,Benetton Ford,1:18.455,1994,MSC
Pacific,Michael  Schumacher ,Benetton Ford,1:14.023,1994,MSC
San Marino,Damon  Hill ,Williams Renault,1:24.335,1994,HIL
Monaco,Michael  Schumacher ,Benetton Ford,1:21.076,1994,MSC
Spain,Michael  Schumacher ,Benetton Ford,1:25.155,1994,MSC
Canada,Michael  Schumacher ,Benetton Ford,1:28.927,1994,MSC
France,Damon  Hill ,Williams Renault,1:19.678,1994,HIL
Great Britain,Damon  Hill ,Williams Renault,1:27.100,1994,HIL
Germany,David  Coulthard ,Williams Renault,1:46.211,1994,COU
Hungary,Michael  Schumacher ,Benetton Ford,1:20.881,1994,MSC
Belgium,Damon  Hill ,Williams Renault,1:57.117,1994,HIL
Italy,Damon  Hill ,Williams Renault,1:25.930,1994,HIL
Portugal,David  Coulthard ,Williams Renault,1:22.446,1994,COU
Europe,Michael  Schumacher ,Benetton Ford,1:25.040,1994,MSC
Japan,Damon  Hill ,Williams Renault,1:56.597,1994,HIL
Australia,Michael  Schumacher ,Benetton Ford,1:17.140,1994,MSC
Brazil,Michael  Schumacher ,Benetton Renault,1:20.921,1995,MSC
Argentina,Michael  Schumacher ,Benetton Renault,1:30.522,1995,MSC
San Marino,Gerhard  Berger ,Ferrari,1:29.568,1995,BER
Spain,Damon  Hill ,Williams Renault,1:24.531,1995,HIL
Monaco,Jean  Alesi ,Ferrari,1:24.621,1995,ALE
Canada,Michael  Schumacher ,Benetton Renault,1:29.174,1995,MSC
France,Michael  Schumacher ,Benetton Renault,1:20.218,1995,MSC
Great Britain,Damon  Hill ,Williams Renault,1:29.752,1995,HIL
Germany,Michael  Schumacher ,Benetton Renault,1:48.824,1995,MSC
Hungary,Damon  Hill ,Williams Renault,1:20.247,1995,HIL
Belgium,David  Coulthard ,Williams Renault,1:53.412,1995,COU
Italy,Gerhard  Berger ,Ferrari,1:26.419,1995,BER
Portugal,David  Coulthard ,Williams Renault,1:23.220,1995,COU
Europe,Michael  Schumacher ,Benetton Renault,1:21.180,1995,MSC
Pacific,Michael  Schumacher ,Benetton Renault,1:16.374,1995,MSC
Japan,Michael  Schumacher ,Benetton Renault,1:42.976,1995,MSC
Australia,Damon  Hill ,Williams Renault,1:17.943,1995,HIL
Australia,Jacques  Villeneuve ,Williams Renault,1:33.421,1996,VIL
Brazil,Damon  Hill ,Williams Renault,1:21.547,1996,HIL
Argentina,Jean  Alesi ,Benetton Renault,1:29.413,1996,ALE
Europe,Damon  Hill ,Williams Renault,1:21.363,1996,HIL
San Marino,Damon  Hill ,Williams Renault,1:28.931,1996,HIL
Monaco,Jean  Alesi ,Benetton Renault,1:25.205,1996,ALE
Spain,Michael  Schumacher ,Ferrari,1:45.517,1996,MSC
Canada,Jacques  Villeneuve ,Williams Renault,1:21.916,1996,VIL
France,Jacques  Villeneuve ,Williams Renault,1:18.610,1996,VIL
Great Britain,Jacques  Villeneuve ,Williams Renault,1:29.288,1996,VIL
Germany,Damon  Hill ,Williams Renault,1:46.504,1996,HIL
Hungary,Damon  Hill ,Williams Renault,1:20.093,1996,HIL
Belgium,Gerhard  Berger ,Benetton Renault,1:53.067,1996,BER
Italy,Michael  Schumacher ,Ferrari,1:26.110,1996,MSC
Portugal,Jacques  Villeneuve ,Williams Renault,1:22.873,1996,VIL
Japan,Jacques  Villeneuve ,Williams Renault,1:44.043,1996,VIL
Australia,Heinz-Harald  Frentzen ,Williams Renault,1:30.585,1997,FRE
Brazil,Jacques  Villeneuve ,Williams Renault,1:18.397,1997,VIL
Argentina,Gerhard  Berger ,Benetton Renault,1:27.981,1997,BER
San Marino,Heinz-Harald  Frentzen ,Williams Renault,1:25.531,1997,FRE
Monaco,Michael  Schumacher ,Ferrari,1:53.315,1997,MSC
Spain,Giancarlo  Fisichella ,Jordan Peugeot,1:22.242,1997,FIS
Canada,David  Coulthard ,McLaren Mercedes,1:19.635,1997,COU
France,Michael  Schumacher ,Ferrari,1:17.910,1997,MSC
Great Britain,Michael  Schumacher ,Ferrari,1:24.475,1997,MSC
Germany,Gerhard  Berger ,Benetton Renault,1:45.747,1997,BER
Hungary,Heinz-Harald  Frentzen ,Williams Renault,1:18.372,1997,FRE
Belgium,Jacques  Villeneuve ,Williams Renault,1:52.692,1997,VIL
Italy,Mika  Hakkinen ,McLaren Mercedes,1:24.808,1997,HAK
Austria,Jacques  Villeneuve ,Williams Renault,1:11.814,1997,VIL
Luxembourg,Heinz-Harald  Frentzen ,Williams Renault,1:18.805,1997,FRE
Japan,Heinz-Harald  Frentzen ,Williams Renault,1:38.942,1997,FRE
Europe,Heinz-Harald  Frentzen ,Williams Renault,1:23.135,1997,FRE
Australia,Mika  Hakkinen ,McLaren Mercedes,1:31.649,1998,HAK
Brazil,Mika  Hakkinen ,McLaren Mercedes,1:19.337,1998,HAK
Argentina,Alexander  Wurz ,Benetton Playlife,1:28.179,1998,WUR
San Marino,Michael  Schumacher ,Ferrari,1:29.345,1998,MSC
Spain,Mika  Hakkinen ,McLaren Mercedes,1:24.275,1998,HAK
Monaco,Mika  Hakkinen ,McLaren Mercedes,1:22.948,1998,HAK
Canada,Michael  Schumacher ,Ferrari,1:19.379,1998,MSC
France,David  Coulthard ,McLaren Mercedes,1:17.523,1998,COU
Great Britain,Michael  Schumacher ,Ferrari,1:35.704,1998,MSC
Austria,David  Coulthard ,McLaren Mercedes,1:12.878,1998,COU
Germany,David  Coulthard ,McLaren Mercedes,1:46.116,1998,COU
Hungary,Michael  Schumacher ,Ferrari,1:19.286,1998,MSC
Belgium,Michael  Schumacher ,Ferrari,2:03.766,1998,MSC
Italy,Mika  Hakkinen ,McLaren Mercedes,1:25.139,1998,HAK
Luxembourg,Mika  Hakkinen ,McLaren Mercedes,1:20.450,1998,HAK
Japan,Michael  Schumacher ,Ferrari,1:40.190,1998,MSC
Australia,Michael  Schumacher ,Ferrari,1:32.112,1999,MSC
Brazil,Mika  Hakkinen ,McLaren Mercedes,1:18.448,1999,HAK
San Marino,Michael  Schumacher ,Ferrari,1:28.547,1999,MSC
Monaco,Mika  Hakkinen ,McLaren Mercedes,1:22.259,1999,HAK
Spain,Michael  Schumacher ,Ferrari,1:24.982,1999,MSC
Canada,Eddie  Irvine ,Ferrari,1:20.382,1999,IRV
France,David  Coulthard ,McLaren Mercedes,1:19.227,1999,COU
Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:28.309,1999,HAK
Austria,Mika  Hakkinen ,McLaren Mercedes,1:12.107,1999,HAK
Germany,David  Coulthard ,McLaren Mercedes,1:45.270,1999,COU
Hungary,David  Coulthard ,McLaren Mercedes,1:20.699,1999,COU
Belgium,Mika  Hakkinen ,McLaren Mercedes,1:53.955,1999,HAK
Italy,Ralf  Schumacher ,Williams Supertec,1:25.579,1999,RSC
Europe,Mika  Hakkinen ,McLaren Mercedes,1:21.282,1999,HAK
Malaysia,Heinz-Harald  Frentzen ,Jordan Mugen Honda,1:40.631,1999,FRE
Japan,Michael  Schumacher ,Ferrari,1:41.319,1999,MSC
Australia,Rubens  Barrichello ,Ferrari,1:31.481,2000,BAR
Brazil,Michael  Schumacher ,Ferrari,1:14.755,2000,MSC
San Marino,Mika  Hakkinen ,McLaren Mercedes,1:26.523,2000,HAK
Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:26.217,2000,HAK
Spain,Mika  Hakkinen ,McLaren Mercedes,1:24.470,2000,HAK
Europe,Michael  Schumacher ,Ferrari,1:22.269,2000,MSC
Monaco,Mika  Hakkinen ,McLaren Mercedes,1:21.571,2000,HAK
Canada,Mika  Hakkinen ,McLaren Mercedes,1:19.049,2000,HAK
France,David  Coulthard ,McLaren Mercedes,1:19.479,2000,COU
Austria,David  Coulthard ,McLaren Mercedes,1:11.783,2000,COU
Germany,Rubens  Barrichello ,Ferrari,1:44.300,2000,BAR
Hungary,Mika  Hakkinen ,McLaren Mercedes,1:20.028,2000,HAK
Belgium,Rubens  Barrichello ,Ferrari,1:53.803,2000,BAR
Italy,Mika  Hakkinen ,McLaren Mercedes,1:25.595,2000,HAK
United States,David  Coulthard ,McLaren Mercedes,1:14.711,2000,COU
Japan,Mika  Hakkinen ,McLaren Mercedes,1:39.189,2000,HAK
Malaysia,Mika  Hakkinen ,McLaren Mercedes,1:38.543,2000,HAK
Australia,Michael  Schumacher ,Ferrari,1:28.214,2001,MSC
Malaysia,Mika  Hakkinen ,McLaren Mercedes,1:40.962,2001,HAK
Brazil,Ralf  Schumacher ,Williams BMW,1:15.693,2001,RSC
San Marino,Ralf  Schumacher ,Williams BMW,1:25.524,2001,RSC
Spain,Michael  Schumacher ,Ferrari,1:21.151,2001,MSC
Austria,David  Coulthard ,McLaren Mercedes,1:10.843,2001,COU
Monaco,David  Coulthard ,McLaren Mercedes,1:19.424,2001,COU
Canada,Ralf  Schumacher ,Williams BMW,1:17.205,2001,RSC
Europe,Juan Pablo  Montoya ,Williams BMW,1:18.354,2001,MOY
France,David  Coulthard ,McLaren Mercedes,1:16.088,2001,COU
Great Britain,Mika  Hakkinen ,McLaren Mercedes,1:23.405,2001,HAK
Germany,Juan Pablo  Montoya ,Williams BMW,1:41.808,2001,MOY
Hungary,Mika  Hakkinen ,McLaren Mercedes,1:16.723,2001,HAK
Belgium,Michael  Schumacher ,Ferrari,1:49.758,2001,MSC
Italy,Ralf  Schumacher ,Williams BMW,1:25.073,2001,RSC
United States,Juan Pablo  Montoya ,Williams BMW,1:14.448,2001,MOY
Japan,Ralf  Schumacher ,Williams BMW,1:36.944,2001,RSC
Australia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:28.541,2002,RAI
Malaysia,Juan Pablo  Montoya ,Williams BMW,1:38.049,2002,MOY
Brazil,Juan Pablo  Montoya ,Williams BMW,1:16.079,2002,MOY
San Marino,Rubens  Barrichello ,Ferrari,1:24.170,2002,BAR
Spain,Michael  Schumacher ,Ferrari,1:20.355,2002,MSC
Austria,Michael  Schumacher ,Ferrari,1:09.298,2002,MSC
Monaco,Rubens  Barrichello ,Ferrari,1:18.023,2002,BAR
Canada,Juan Pablo  Montoya ,Williams BMW,1:15.960,2002,MOY
Europe,Michael  Schumacher ,Ferrari,1:32.226,2002,MSC
Great Britain,Rubens  Barrichello ,Ferrari,1:23.083,2002,BAR
France,David  Coulthard ,McLaren Mercedes,1:15.045,2002,COU
Germany,Michael  Schumacher ,Ferrari,1:16.462,2002,MSC
Hungary,Michael  Schumacher ,Ferrari,1:16.207,2002,MSC
Belgium,Michael  Schumacher ,Ferrari,1:47.176,2002,MSC
Italy,Rubens  Barrichello ,Ferrari,1:23.657,2002,BAR
United States,Rubens  Barrichello ,Ferrari,1:12.738,2002,BAR
Japan,Michael  Schumacher ,Ferrari,1:36.125,2002,MSC
Australia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:27.724,2003,RAI
Malaysia,Michael  Schumacher ,Ferrari,1:36.412,2003,MSC
Brazil,Rubens  Barrichello ,Ferrari,1:22.032,2003,BAR
San Marino,Michael  Schumacher ,Ferrari,1:22.491,2003,MSC
Spain,Rubens  Barrichello ,Ferrari,1:20.143,2003,BAR
Austria,Michael  Schumacher ,Ferrari,1:08.337,2003,MSC
Monaco,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:14.545,2003,RAI
Canada,Fernando  Alonso ,Renault,1:16.040,2003,ALO
Europe,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:32.621,2003,RAI
France,Juan Pablo  Montoya ,Williams BMW,1:15.512,2003,MOY
Great Britain,Rubens  Barrichello ,Ferrari,1:22.236,2003,BAR
Germany,Juan Pablo  Montoya ,Williams BMW,1:14.917,2003,MOY
Hungary,Juan Pablo  Montoya ,Williams BMW,1:22.095,2003,MOY
Italy,Michael  Schumacher ,Ferrari,1:21.832,2003,MSC
United States,Michael  Schumacher ,Ferrari,1:11.473,2003,MSC
Japan,Ralf  Schumacher ,Williams BMW,1:33.408,2003,RSC
Australia,Michael  Schumacher ,Ferrari,1:24.125,2004,MSC
Malaysia,Juan Pablo  Montoya ,Williams BMW,1:34.223,2004,MOY
Bahrain,Michael  Schumacher ,Ferrari,1:30.252,2004,MSC
San Marino,Michael  Schumacher ,Ferrari,1:20.411,2004,MSC
Spain,Michael  Schumacher ,Ferrari,1:17.450,2004,MSC
Monaco,Michael  Schumacher ,Ferrari,1:14.439,2004,MSC
Europe,Michael  Schumacher ,Ferrari,1:29.468,2004,MSC
Canada,Rubens  Barrichello ,Ferrari,1:13.622,2004,BAR
United States,Rubens  Barrichello ,Ferrari,1:10.399,2004,BAR
France,Michael  Schumacher ,Ferrari,1:15.377,2004,MSC
Great Britain,Michael  Schumacher ,Ferrari,1:18.739,2004,MSC
Germany,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:13.780,2004,RAI
Hungary,Michael  Schumacher ,Ferrari,1:19.071,2004,MSC
Belgium,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:45.108,2004,RAI
Italy,Rubens  Barrichello ,Ferrari,1:21.046,2004,BAR
China,Michael  Schumacher ,Ferrari,1:32.238,2004,MSC
Japan,Rubens  Barrichello ,Ferrari,1:32.730,2004,BAR
Brazil,Juan Pablo  Montoya ,Williams BMW,1:11.473,2004,MOY
Australia,Fernando  Alonso ,Renault,1:25.683,2005,ALO
Malaysia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:35.483,2005,RAI
Bahrain,Pedro  de la Rosa ,McLaren Mercedes,1:31.447,2005,DLR
San Marino,Michael  Schumacher ,Ferrari,1:21.858,2005,MSC
Spain,Giancarlo  Fisichella ,Renault,1:15.641,2005,FIS
Monaco,Michael  Schumacher ,Ferrari,1:15.842,2005,MSC
Europe,Fernando  Alonso ,Renault,1:30.711,2005,ALO
Canada,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:14.384,2005,RAI
United States,Michael  Schumacher ,Ferrari,1:11.497,2005,MSC
France,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:16.423,2005,RAI
Great Britain,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:20.502,2005,RAI
Germany,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:14.873,2005,RAI
Hungary,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:21.219,2005,RAI
Turkey,Juan Pablo  Montoya ,McLaren Mercedes,1:24.770,2005,MOY
Italy,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:21.504,2005,RAI
Belgium,Ralf  Schumacher ,Toyota,1:51.453,2005,RSC
Brazil,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:12.268,2005,RAI
Japan,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:31.540,2005,RAI
China,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:33.242,2005,RAI
Bahrain,Nico  Rosberg ,Williams Cosworth,1:32.408,2006,ROS
Malaysia,Fernando  Alonso ,Renault,1:34.803,2006,ALO
Australia,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:26.045,2006,RAI
San Marino,Fernando  Alonso ,Renault,1:24.569,2006,ALO
Europe,Michael  Schumacher ,Ferrari,1:32.099,2006,MSC
Spain,Felipe  Massa ,Ferrari,1:16.648,2006,MAS
Monaco,Michael  Schumacher ,Ferrari,1:15.143,2006,MSC
Great Britain,Fernando  Alonso ,Renault,1:21.599,2006,ALO
Canada,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:15.841,2006,RAI
United States,Michael  Schumacher ,Ferrari,1:12.719,2006,MSC
France,Michael  Schumacher ,Ferrari,1:17.111,2006,MSC
Germany,Michael  Schumacher ,Ferrari,1:16.357,2006,MSC
Hungary,Felipe  Massa ,Ferrari,1:23.516,2006,MAS
Turkey,Michael  Schumacher ,Ferrari,1:28.005,2006,MSC
Italy,Kimi  RÃ¤ikkÃ¶nen ,McLaren Mercedes,1:22.559,2006,RAI
China,Fernando  Alonso ,Renault,1:37.586,2006,ALO
Japan,Fernando  Alonso ,Renault,1:32.676,2006,ALO
Brazil,Michael  Schumacher ,Ferrari,1:12.162,2006,MSC
Australia,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:25.235,2007,RAI
Malaysia,Lewis  Hamilton ,McLaren Mercedes,1:36.701,2007,HAM
Bahrain,Felipe  Massa ,Ferrari,1:34.067,2007,MAS
Spain,Felipe  Massa ,Ferrari,1:22.680,2007,MAS
Monaco,Fernando  Alonso ,McLaren Mercedes,1:15.284,2007,ALO
Canada,Fernando  Alonso ,McLaren Mercedes,1:16.367,2007,ALO
United States,Kimi  RÃ¤ikkÃ¶nen ,Ferrari,1:13.117,2007,RAI
France,Felipe  Massa ,Ferrari,1:16.099,2007,MAS
