Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1293,Metal Gear Rising Revengeance,PSThree,2013,Action,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47
1296,The House of the Dead Two  Three Return,Wii,2008,Shooter,Sega,0.78,0.5,0.03,0.15,1.47
1297,Disney Princess Magical Jewels,DS,2007,Adventure,Disney Interactive Studios,1.15,0.2,0.0,0.12,1.47
1298,LittleBigPlanet PS Vita,PSV,2012,Platform,Sony Computer Entertainment,0.4,0.72,0.02,0.33,1.47
1299,Xenogears,PS,1998,Role Playing,SquareSoft,0.29,0.19,0.89,0.1,1.46
1301,Tom Clancys Ghost Recon Future Soldier,XThreeSixZero,2012,Shooter,Ubisoft,0.93,0.4,0.02,0.12,1.46
1302,Battlefield Bad Company,XThreeSixZero,2008,Shooter,Electronic Arts,0.81,0.46,0.04,0.15,1.46
1303,Midway Arcade Treasures,PSTow,2003,Misc,Midway Games,0.72,0.56,0.0,0.19,1.46
1304,WallE,DS,2008,Platform,THQ,0.46,0.83,0.0,0.17,1.46
1305,Triple Play NineNine,PS,0,Sports,Unknown,0.81,0.55,0.0,0.1,1.46
1306,Homefront,XThreeSixZero,2011,Shooter,THQ,0.83,0.48,0.02,0.12,1.46
1307,Super Monkey Ball,GC,2001,Puzzle,Atari,0.95,0.37,0.1,0.04,1.46
1309,Mortal Kombat Four,PS,1998,Fighting,GT Interactive,0.81,0.55,0.0,0.1,1.46
1310,Mario Superstar Baseball,GC,2005,Sports,Nintendo,0.93,0.24,0.25,0.04,1.46
1313,Medal of Honor Warfighter,PSThree,2012,Action,Electronic Arts,0.47,0.65,0.06,0.28,1.46
1314,WCW vs the World,PS,1998,Fighting,THQ,1.17,0.2,0.04,0.05,1.46
1315,SNK vs Capcom The Match of the Millennium,PSP,2006,Fighting,Sega,0.53,0.58,0.0,0.35,1.46
1316,LEGO City Undercover,ThreeDS,2013,Platform,Nintendo,0.51,0.75,0.07,0.12,1.46
1317,Onimusha Three Demon Siege,PSTow,2004,Action,Capcom,0.37,0.47,0.54,0.07,1.45
1321,Red Dead Revolver,PSTow,2004,Shooter,TakeTwo Interactive,0.71,0.55,0.0,0.19,1.45
1322,Anno TwoZeroSevenZero,PC,2011,Strategy,Ubisoft,0.0,1.13,0.0,0.32,1.45
1323,Resident Evil Outbreak,PSTow,2003,Action,Capcom,0.54,0.35,0.46,0.1,1.45
1324,Smarty Pants,Wii,2007,Misc,Electronic Arts,0.53,0.76,0.0,0.16,1.45
1325,Tamagotchi,GB,1996,Simulation,Namco Bandai Games,0.0,0.0,1.44,0.01,1.45
1326,Four Nin uchi Mahjong,NES,1984,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45
1327,Dragon Ball Z,SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,1.45,0.0,1.45
1328,Game de Hakken Tamagotchi Two,GB,1997,Simulation,Namco Bandai Games,0.0,0.0,1.44,0.01,1.45
1329,Namco Museum SixFour,NSixFour,1999,Misc,Namco Bandai Games,1.24,0.17,0.03,0.01,1.45
1330,Hasbro Family Game Night,Wii,2008,Puzzle,Electronic Arts,0.97,0.34,0.0,0.13,1.45
1331,Dragon Quest Monsters Joker Two,DS,2010,Role Playing,Square Enix,0.11,0.08,1.24,0.02,1.45
1332,Tony Hawks American Wasteland Weekly american sales,PSTow,2005,Sports,Activision,1.38,0.05,0.0,0.02,1.45
1333,My Word Coach,DS,2007,Misc,Ubisoft,0.37,0.9,0.0,0.18,1.45
1334,Hello Kitty Party,DS,2007,Misc,Rising Star Games,0.79,0.53,0.0,0.13,1.44
1335,SingStar Pop,PSTow,2007,Misc,Sony Computer Entertainment,0.04,1.08,0.0,0.32,1.44
1336,Sonic Rivals,PSP,2006,Racing,Sega,0.73,0.42,0.0,0.28,1.44
1337,SimCity TwoZeroOneThree,PC,2013,Simulation,Electronic Arts,0.48,0.77,0.0,0.19,1.44
1338,Kirby Super Star,SNES,1996,Platform,Nintendo,0.26,0.07,1.09,0.02,1.44
1341,Kinect Joy Ride,XThreeSixZero,2010,Racing,Microsoft Game Studios,0.92,0.4,0.0,0.12,1.44
1342,Rayman Raving Rabbids,Wii,2006,Misc,Ubisoft,1.23,0.07,0.02,0.11,1.44
1344,Tiger Woods PGA Tour TwoZeroZeroFive,PSTow,2004,Sports,Electronic Arts,1.03,0.32,0.0,0.09,1.44
1346,NCAA Football TwoZeroZeroThree,PSTow,2002,Sports,Electronic Arts,1.16,0.08,0.0,0.19,1.44
1347,Frogger Two Swampys Revenge,PS,1999,Action,Hasbro Interactive,0.8,0.54,0.0,0.09,1.43
1349,LEGO Indiana Jones Two The Adventure Continues,Wii,2009,Action,Activision,0.91,0.39,0.0,0.13,1.43
1351,Tiger Woods PGA Tour ZeroNine AllPlay,Wii,2008,Sports,Electronic Arts,0.81,0.48,0.0,0.14,1.43
1353,Classic NES Series Super Mario Bros,GBA,2004,Platform,Nintendo,0.0,0.0,1.39,0.03,1.43
1354,Triple Play TwoZeroZeroZero,PS,1999,Sports,Electronic Arts,0.79,0.54,0.0,0.09,1.43
1356,Cabelas Big Game Hunter,PSTow,2002,Sports,Activision,0.7,0.54,0.0,0.18,1.42
1357,UFC Undisputed TwoZeroOneZero,PSThree,2010,Fighting,THQ,0.8,0.41,0.02,0.19,1.42
1358,NBA Live ZeroSix Weekly american sales,PSTow,2005,Sports,Electronic Arts,1.35,0.05,0.0,0.02,1.42
1359,The Legend of Zelda The Minish Cap,GBA,2004,Action,Nintendo,0.89,0.22,0.22,0.1,1.42
1360,NFL Street,PSTow,2004,Sports,Electronic Arts,1.15,0.08,0.0,0.19,1.42
1362,Super Metroid,SNES,1994,Action,Nintendo,0.57,0.12,0.71,0.02,1.42
1363,Pro Yakyuu Family Stadium EightSeven,NES,1987,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42
1365,Resident Evil Remake,GC,2002,Action,Capcom,0.63,0.38,0.35,0.05,1.42
1366,Inazuma Eleven Two,DS,2009,Role Playing,Nintendo,0.0,0.21,1.18,0.03,1.42
1372,Injustice Gods Among Us,XThreeSixZero,2013,Fighting,Warner Bros Interactive Entertainment,0.97,0.34,0.0,0.11,1.41
1375,Ridge Racer,PSP,2004,Racing,Sony Computer Entertainment,0.36,0.45,0.32,0.28,1.41
1376,Metroid Other M,Wii,2010,Action,Nintendo,0.87,0.31,0.13,0.1,1.41
1377,Knockout Kings TwoZeroZeroZero,PS,1999,Fighting,Electronic Arts,1.02,0.34,0.0,0.05,1.41
1378,Gran Turismo Four Prologue,PSTow,2003,Racing,Sony Computer Entertainment,0.0,0.47,0.77,0.17,1.41
1379,Twisted Metal Black,PSTow,2001,Racing,Sony Computer Entertainment,1.19,0.17,0.0,0.05,1.41
1380,NASCAR TwoZeroZeroFive Chase for the Cup,PSTow,2004,Racing,Electronic Arts,0.69,0.54,0.0,0.18,1.41
1384,TwoXtreme,PS,1996,Sports,Sony Computer Entertainment,1.15,0.2,0.0,0.05,1.4
1386,Sonic Advance Three,GBA,2004,Platform,THQ,0.74,0.52,0.08,0.06,1.4
1389,Colin McRae Rally Three,PSTow,2002,Racing,Codemasters,0.03,1.05,0.02,0.3,1.4
1391,Doom TwoZeroOneSix,PSFour,2016,Shooter,Bethesda Softworks,0.49,0.66,0.02,0.22,1.39
1392,Final Fantasy XII Revenant Wings,DS,2007,Role Playing,Square Enix,0.34,0.42,0.54,0.1,1.39
1393,Bakugan Battle Brawlers,DS,2009,Action,Activision,1.27,0.02,0.0,0.09,1.39
1394,Deus Ex Human Revolution,PSThree,2011,Shooter,Square Enix,0.5,0.6,0.07,0.23,1.39
1396,Teenage Mutant Ninja Turtles III The Manhattan Project,NES,1991,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39
1397,Dynasty Warriors Five,PSTow,2005,Action,Tecmo Koei,0.24,0.18,0.91,0.06,1.39
1398,Hannah Montana Spotlight World Tour,Wii,2007,Action,Disney Interactive Studios,0.87,0.38,0.0,0.13,1.39
1399,WWE OneThree,PSThree,2012,Action,THQ,0.51,0.62,0.0,0.26,1.39
1402,The Sims Two,PSP,2005,Simulation,Electronic Arts,0.49,0.56,0.0,0.33,1.38
1403,Paper Mario,NSixFour,2000,Role Playing,Nintendo,0.58,0.18,0.59,0.02,1.38
1404,Bravely Default Flying Fairy,ThreeDS,2012,Role Playing,Nintendo,0.5,0.32,0.49,0.07,1.38
1406,Duke Nukem Time to Kill,PS,1998,Shooter,TakeTwo Interactive,0.77,0.54,0.0,0.07,1.38
1407,Persona Four Golden,PSV,2012,Role Playing,Atlus,0.46,0.34,0.38,0.21,1.38
1409,Hasbro Family Game Night Two,Wii,2009,Misc,Electronic Arts,0.71,0.53,0.0,0.13,1.38
1410,Disney Princess Enchanted Journey,Wii,2007,Adventure,Disney Interactive Studios,1.24,0.04,0.0,0.09,1.38
1411,Gardening Mama,DS,2009,Puzzle,FiveZeroFive Games,0.8,0.43,0.01,0.13,1.38
1412,Dave Mirra Freestyle BMX Two,PSTow,2001,Sports,Acclaim Entertainment,0.67,0.53,0.0,0.18,1.38
1415,Assassins Creed Rogue,PSThree,2014,Action,Ubisoft,0.46,0.62,0.06,0.23,1.37
1416,Ridge Racer Seven,PSThree,2006,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26,1.37
1417,A Collection of Activision Classic Games for the Atari TwoSixZeroZero,PS,1998,Misc,Activision,0.76,0.52,0.0,0.09,1.37
1418,Forza Horizon Two,XOne,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.09,1.37
1419,MotorStorm Pacific Rift,PSThree,2008,Racing,Sony Computer Entertainment,0.43,0.67,0.02,0.26,1.37
1421,Star Wars Knights of the Old Republic II The Sith Lords,XB,2004,Role Playing,Activision,0.99,0.33,0.0,0.05,1.37
1423,Pocket Monsters Stadium,NSixFour,1998,Strategy,Nintendo,0.0,0.0,1.37,0.0,1.37
1425,Tom Clancys Ghost Recon Two,XB,2004,Shooter,Ubisoft,0.86,0.45,0.0,0.06,1.36
1426,Crash Bandicoot Two NTranced,GBA,2003,Platform,Vivendi Games,0.63,0.66,0.0,0.07,1.36
1428,SingStar Abba,PSTow,2008,Misc,Sony Computer Entertainment,0.23,0.04,0.0,1.09,1.36
1429,Gradius,NES,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36
1430,Dragon Quest III Soshite Densetsu e,SNES,1996,Role Playing,Enix Corporation,0.0,0.0,1.36,0.0,1.36
1431,Centipede,TowSixZeroZero,1981,Shooter,Atari,1.26,0.08,0.0,0.01,1.36
1432,Yoshis New Island,ThreeDS,2014,Platform,Nintendo,0.47,0.51,0.28,0.09,1.36
1433,Ryse Son of Rome,XOne,2013,Action,Microsoft Game Studios,0.82,0.42,0.0,0.11,1.36
1434,Dead to Rights,PSTow,2002,Shooter,Electronic Arts,0.67,0.52,0.0,0.17,1.36
1435,LEGO Harry Potter Years FiveSeven,Wii,0,Action,Warner Bros Interactive Entertainment,0.76,0.47,0.0,0.13,1.36
1436,Marvel vs Capcom Three Fate of Two Worlds,PSThree,2011,Fighting,Capcom,0.81,0.29,0.11,0.14,1.35
1437,Dance Dance Revolution Japan,PS,1999,Simulation,Konami Digital Entertainment,0.0,0.0,1.26,0.09,1.35
1438,FOne TwoZeroOneZero,PSThree,2010,Racing,Codemasters,0.25,0.76,0.08,0.27,1.35
1439,Madden NFL NineEight,PS,1997,Sports,Electronic Arts,1.29,0.03,0.0,0.03,1.35
1441,Namco Museum DS,DS,2007,Misc,Atari,1.18,0.01,0.06,0.09,1.35
1443,Grand Theft Auto Chinatown Wars,DS,2009,Action,TakeTwo Interactive,0.59,0.57,0.05,0.14,1.35
1444,Alan Wake,XThreeSixZero,2010,Action,Microsoft Game Studios,0.66,0.51,0.05,0.13,1.35
1447,Samurai Warriors,PSTow,2004,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35
1451,Monster Hunter Freedom,PSP,2005,Role Playing,Capcom,0.24,0.04,1.03,0.04,1.35
1452,Crysis Two,XThreeSixZero,2011,Action,Electronic Arts,0.7,0.5,0.02,0.12,1.35
1453,SaGa Frontier,PS,1997,Role Playing,SquareSoft,0.15,0.04,1.07,0.09,1.35
1454,SingStar Party,PSTow,2004,Misc,Sony Computer Entertainment,0.0,1.04,0.0,0.31,1.35
1456,The ICO  Shadow of the Colossus Collection,PSThree,2011,Adventure,Sony Computer Entertainment,0.67,0.37,0.13,0.17,1.35
1457,Test Drive,PSTow,2002,Racing,Atari,0.95,0.21,0.01,0.18,1.34
1458,Mario  Luigi Partners in Time,DS,2005,Role Playing,Nintendo,0.77,0.07,0.43,0.08,1.34
1459,Lost Planet Extreme Condition,XThreeSixZero,2006,Shooter,Capcom,1.09,0.04,0.1,0.11,1.34
1461,Doom Three,XB,2005,Shooter,Activision,0.85,0.43,0.0,0.06,1.34
1462,Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34
1464,Max Payne Two The Fall of Max Payne,PSTow,2003,Shooter,TakeTwo Interactive,0.65,0.51,0.0,0.17,1.34
1465,Command  Conquer Red Alert Two,PC,2000,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34
1466,MVP Baseball TwoZeroZeroFour,PSTow,2004,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34
1468,Ratchet  Clank Up Your Arsenal Weekly american sales,PSTow,2004,Platform,Sony Computer Entertainment,1.27,0.05,0.0,0.02,1.33
1469,Your Shape Fitness Evolved,XThreeSixZero,2010,Sports,Ubisoft,0.79,0.42,0.0,0.11,1.33
1477,Triple Play TwoZeroZeroOne,PS,2000,Sports,Electronic Arts,0.74,0.5,0.0,0.09,1.33
1478,Metroid Prime Two Echoes,GC,2004,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33
1480,Final Fantasy X  XTwo HD Remaster,PSThree,2013,Role Playing,Square Enix,0.43,0.4,0.32,0.18,1.33
1481,Corvette,PSTow,2004,Racing,TDK Mediactive,0.65,0.51,0.0,0.17,1.33
1482,Petz Wild Animals Dolphinz,DS,2007,Simulation,Ubisoft,0.71,0.48,0.0,0.13,1.33
1483,Pokemon Ranger Guardian Signs,DS,2010,Role Playing,Nintendo,0.51,0.17,0.58,0.06,1.33
1485,Need for Speed Underground Rivals,PSP,2005,Racing,Electronic Arts,0.69,0.38,0.02,0.24,1.32
1487,Dark Souls II,PSThree,2014,Role Playing,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32
1488,World of Warcraft Wrath of the Lich King,PC,2008,Role Playing,Activision,0.01,0.13,0.0,1.18,1.32
1490,The LEGO Movie Videogame,XThreeSixZero,2014,Action,Warner Bros Interactive Entertainment,0.69,0.52,0.0,0.11,1.32
1491,TOCA Two Touring Cars,PS,1998,Racing,Codemasters,0.03,1.16,0.02,0.11,1.32
1492,Gyromite,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32
1493,NFL TwoKThree,PSTow,2002,Sports,Atari,1.06,0.08,0.0,0.18,1.32
1494,Fighting Force,PS,1997,Fighting,Eidos Interactive,0.73,0.5,0.0,0.09,1.32
1495,Mega Man Battle Network Four Red Sun  Blue Moon,GBA,2003,Role Playing,Capcom,0.31,0.04,0.96,0.01,1.32
1496,MAG Massive Action Game,PSThree,2010,Shooter,Sony Computer Entertainment,0.77,0.3,0.09,0.16,1.32
1497,Madden NFL NineSeven,PS,1996,Sports,Electronic Arts,0.73,0.5,0.0,0.09,1.32
1498,Cars Two,DS,2011,Racing,Disney Interactive Studios,0.72,0.44,0.04,0.12,1.32
1501,TNN Motor Sports Hardcore FourxFour,PS,1996,Racing,ASC Games,0.73,0.5,0.0,0.09,1.31
1502,IHRA Drag Racing Two,PSTow,2002,Racing,Bethesda Softworks,0.64,0.5,0.0,0.17,1.31
1505,Prototype,XThreeSixZero,2009,Action,Activision,0.84,0.35,0.0,0.12,1.31
1507,Madagascar,PSTow,2005,Platform,Activision,0.78,0.45,0.0,0.07,1.31
1508,Rugrats Studio Tour,PS,1999,Adventure,THQ,0.57,0.67,0.0,0.07,1.31
1509,LEGO Battles,DS,2009,Strategy,Warner Bros Interactive Entertainment,0.81,0.38,0.0,0.12,1.31
1510,Pitfall II Lost Caverns,TowSixZeroZero,1983,Platform,Activision,1.22,0.07,0.0,0.02,1.31
1511,Turok Evolution,PSTow,2002,Shooter,Acclaim Entertainment,0.64,0.5,0.0,0.17,1.31
1512,High School Musical Three Senior Year DANCE,Wii,2008,Misc,Disney Interactive Studios,0.68,0.49,0.0,0.13,1.31
1513,Golds Gym Cardio Workout,Wii,2008,Sports,Ubisoft,1.11,0.04,0.06,0.09,1.31
1515,Adventure,TowSixZeroZero,0,Adventure,Atari,1.21,0.08,0.0,0.01,1.3
1516,YuGiOh The Sacred Cards,GBA,2002,Role Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3
1518,NBA Live ZeroSeven,PSTow,2006,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3
1520,SingStar EightZeros,PSTow,2005,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3
1521,EA Playground,Wii,2007,Sports,Electronic Arts,0.69,0.48,0.0,0.13,1.3
1522,Test Drive Five,PS,1997,Racing,Accolade,1.05,0.2,0.0,0.05,1.3
1523,Romancing SaGa Three,SNES,1995,Role Playing,SquareSoft,0.0,0.0,1.29,0.01,1.3
1524,EA Sports Active Two,Wii,2010,Sports,Electronic Arts,0.78,0.4,0.0,0.11,1.3
1525,Digimon World,PS,1999,Role Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3
1526,Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3
1528,Yoshis Woolly World,WiiU,2015,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29
1529,Mega Man Battle Network Three Blue  White Version,GBA,2002,Role Playing,Capcom,0.39,0.02,0.85,0.03,1.29
1530,FIFA Street,PSThree,2012,Sports,Electronic Arts,0.11,0.92,0.0,0.25,1.29
1531,Resident Evil Zero,GC,2002,Action,Capcom,0.54,0.27,0.45,0.04,1.29
1534,Pirates of the Caribbean The Curse of the Black Pearl,GBA,2003,Platform,TDK Mediactive,0.93,0.34,0.0,0.02,1.29
1535,Transformers,PSTow,2004,Shooter,Atari,0.63,0.49,0.0,0.16,1.29
1536,Guitar Hero Aerosmith,Wii,2008,Misc,Activision,1.04,0.14,0.0,0.1,1.29
1537,Mystery Case Files MillionHeir,DS,2008,Adventure,Nintendo,0.76,0.4,0.0,0.12,1.29
1538,Valkyria Chronicles,PSThree,2008,Role Playing,Sega,0.71,0.2,0.24,0.13,1.29
1539,Midnight Club Three DUB Edition America weekly sales,PSTow,2005,Racing,TakeTwo Interactive,1.22,0.05,0.0,0.01,1.29
1540,Champions of Norrath,PSTow,2004,Role Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28
1542,Imagine Wedding Designer,DS,2008,Simulation,Ubisoft,0.55,0.59,0.0,0.14,1.28
1543,Metal Gear Solid V Ground Zeroes,PSFour,2014,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28
1544,Yakuman,GB,1989,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28
1546,Army Men ThreeD,PS,1999,Action,ThreeDO,1.1,0.14,0.0,0.04,1.28
1548,Twisted Metal Four,PS,1999,Racing,NineEightNine Studios,1.07,0.16,0.0,0.04,1.28
1549,Manhunt,PSTow,2003,Action,TakeTwo Interactive,0.63,0.49,0.0,0.16,1.28
1550,Kid Icarus Uprising,ThreeDS,2012,Action,Nintendo,0.48,0.35,0.36,0.07,1.28
1551,Silent Hill Two,PSTow,2001,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28
1552,Tomb Raider Underworld,PSThree,2008,Action,Eidos Interactive,0.45,0.56,0.05,0.22,1.27
1553,Castlevania Symphony of the Night,PS,1997,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27
1554,The Sims Two Nightlife,PC,2005,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27
1556,Road Rash,PS,1995,Racing,Electronic Arts,0.71,0.48,0.0,0.08,1.27
1557,Pokemon Mystery Dungeon Gates to Infinity,ThreeDS,2012,Role Playing,Nintendo,0.44,0.3,0.47,0.06,1.27
1558,Atlantis,TowSixZeroZero,1981,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27
1559,NBA TwoKNine,XThreeSixZero,2008,Sports,TakeTwo Interactive,1.0,0.16,0.0,0.11,1.27
1560,WWE OneTwo,XThreeSixZero,2011,Fighting,THQ,0.74,0.4,0.0,0.12,1.27
1562,Hogans Alley,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
1564,Jillian Michaels Fitness Ultimatum TwoZeroZeroNine,Wii,2008,Sports,Deep Silver,0.96,0.2,0.0,0.11,1.27
1565,hackInfection Part One,PSTow,2002,Role Playing,Atari,0.49,0.38,0.26,0.13,1.27
1566,Rockstar Games presents Table Tennis,Wii,2007,Sports,TakeTwo Interactive,0.39,0.73,0.0,0.15,1.27
1567,Sonic Adventure DX Directors Cut,GC,2003,Platform,Sega,0.87,0.3,0.06,0.03,1.27
1568,Jet Li Rise to Honor,PSTow,2004,Action,Sony Computer Entertainment,0.62,0.48,0.0,0.16,1.27
1569,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27
1570,Yokai Watch Three,ThreeDS,2016,Action,Level Five,0.0,0.0,1.27,0.0,1.27
1572,Tamagotchi Connection Corner Shop,DS,2005,Simulation,Atari,0.1,0.02,1.12,0.01,1.26
1573,Football Manager TwoZeroOneOne,PC,2010,Sports,Sega,0.0,1.01,0.0,0.25,1.26
1574,Devil Dice,PS,1998,Puzzle,THQ,0.05,0.03,1.1,0.08,1.26
1575,Final Fantasy IV,DS,2007,Simulation,Square Enix,0.54,0.05,0.62,0.05,1.26
1576,Hyrule Warriors,WiiU,2014,Action,Nintendo,0.61,0.42,0.13,0.1,1.26
1578,Championship Manager ZeroThreeZeroFour,PC,2003,Sports,Eidos Interactive,0.0,1.15,0.0,0.11,1.26
1579,Brian Lara Cricket,PS,1998,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26
1580,Ratatouille,DS,2007,Action,THQ,0.5,0.62,0.0,0.14,1.26
1581,Wheel of Fortune,PS,1998,Misc,Hasbro Interactive,0.99,0.22,0.0,0.04,1.26
1582,LEGO The Lord of the Rings,XThreeSixZero,2012,Action,Warner Bros Interactive Entertainment,0.63,0.51,0.0,0.11,1.26
1583,Winter Sports The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.68,0.0,0.12,1.26
1584,SOCOM US Navy SEALs Confrontation,PSThree,2008,Shooter,Sony Computer Entertainment,0.94,0.17,0.02,0.13,1.25
1585,NBA Live TwoZeroZeroOne,PS,2000,Sports,Electronic Arts,0.7,0.47,0.0,0.08,1.25
1587,Combat,TowSixZeroZero,0,Action,Atari,1.17,0.07,0.0,0.01,1.25
1589,Dragon Ball Daimaou Fukkatsu,NES,1988,Role Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
1590,Gegege no Kitarou Two Youkai Gundan no Chousen,NES,1987,Role Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
1591,Reel Fishing,PS,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
1593,Pokemon XD Gale of Darkness,GC,2005,Role Playing,Nintendo,0.71,0.19,0.31,0.03,1.25
1594,Black,PSTow,2006,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25
1595,RollerCoaster Tycoon Two,PC,2002,Strategy,Atari,1.19,0.05,0.0,0.0,1.25
1596,Lara Croft Tomb Raider The Angel of Darkness,PSTow,2003,Action,Eidos Interactive,0.61,0.48,0.0,0.16,1.25
1598,Road Rash ThreeD,PS,1998,Racing,Electronic Arts,1.05,0.16,0.0,0.04,1.25
1599,Ratchet Deadlocked,PSTow,2005,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24
1600,Baldurs Gate Dark Alliance,PSTow,2001,Role Playing,Virgin Interactive,0.61,0.48,0.0,0.16,1.24
1601,Transformers Autobots  Decepticons,DS,2007,Action,Activision,1.12,0.03,0.0,0.09,1.24
1602,Tales of Xillia,PSThree,2011,Role Playing,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24
1603,Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.1,0.04,0.0,0.1,1.24
1605,Assassins Creed Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24
1606,Oddworld Abes Oddysee,PS,1997,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24
1608,Ridge Racer V,PSTow,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24
1609,WWE SmackDown vs Raw TwoZeroZeroNine,PSTow,2008,Fighting,THQ,0.69,0.0,0.0,0.55,1.24
1610,Tetris Two All region sales,GB,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24
1613,Frogger The Great Quest,PSTow,2001,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23
1614,TwoZeroOneZero FIFA World Cup South Africa,PSThree,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23
1615,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23
1617,DrivThreer,PSTow,2004,Racing,Atari,0.6,0.47,0.0,0.16,1.23
1618,Disneys Tarzan  Disneys Aladdin in Nasiras Revenge  Disneys The Emperors New Groove Action Game,PS,2003,Misc,Sony Computer Entertainment,0.69,0.47,0.0,0.08,1.23
1619,Farming Simulator TwoZeroOneFive,PC,2014,Simulation,Focus Home Interactive,0.08,1.02,0.0,0.13,1.23
1621,Medal of Honor Airborne,PSThree,2007,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23
1622,Kirby Tilt n Tumble,GB,2000,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23
1624,Vigilante Eight,PS,1998,Racing,Activision,0.68,0.47,0.0,0.08,1.23
1625,Castlevania,NES,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
1626,Donkey Kong Country Two,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23
1627,Bayonetta,PSThree,2009,Action,Sega,0.44,0.41,0.21,0.17,1.23
1628,WarioWare Inc Mega MicroGame,GBA,2003,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23
1630,Madden NFL OneSeven,PSFour,2016,Sports,Electronic Arts,0.92,0.08,0.0,0.23,1.23
1631,Boom Blox,Wii,2008,Puzzle,Electronic Arts,0.72,0.38,0.0,0.12,1.23
1633,The Sims Two Castaway,Wii,2007,Simulation,Electronic Arts,0.45,0.64,0.0,0.14,1.23
1635,Naruto Shippuden Ultimate Ninja Storm Two,PSThree,2010,Fighting,Namco Bandai Games,0.42,0.47,0.15,0.18,1.22
1636,Mario Power Tennis,GC,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22
1637,Intelligent Qube,PS,1997,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,0.02,1.22
1638,Game  Watch Gallery Two,GB,1997,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22
1639,Game  Watch Gallery Three,GB,1999,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22
1641,Parfait Chocolat Second Style,PSTow,2006,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22
1642,FOne TwoZeroOneOne,PSThree,2011,Racing,Codemasters,0.12,0.75,0.11,0.25,1.22
1643,Cars,PSP,2006,Racing,THQ,0.72,0.29,0.0,0.21,1.22
